Source,Target,Weight,Type
2738,5412,2.5148,Undirected
261,1237,16.4796,Undirected
465,48636,1.3863,Undirected
60,498,1.5556,Undirected
988,3952,1.3657,Undirected
1609,491,1.9912,Undirected
523,922,3.1933,Undirected
928,933,3.9425,Undirected
724,1372,1.3282,Undirected
49,465,1.2600,Undirected
797,977,2.2795,Undirected
48,859,1.9021,Undirected
797,5709,1.7615,Undirected
859,1439,1.7525,Undirected
422,472,2.1936,Undirected
38,18845,1.1275,Undirected
8,4486,1.7099,Undirected
128,188,5.2862,Undirected
248,922,1.6540,Undirected
47,1237,1.6795,Undirected
184,2418,3.8480,Undirected
797,2015,1.1607,Undirected
1008,1200,1.5303,Undirected
128,1187,1.0439,Undirected
9538,13257,1.1049,Undirected
1372,599334,2.7891,Undirected
803,5960,1.4165,Undirected
3529,91380,1.6435,Undirected
221,7125,1.5608,Undirected
49,50,1.4936,Undirected
300,305,1.3017,Undirected
1198,4486,1.1523,Undirected
128,135,1.2098,Undirected
26,6416,3.3506,Undirected
696,915,2.2458,Undirected
39,9538,5.0322,Undirected
27,4524,1.1055,Undirected
813,922,1.0254,Undirected
422,984,1.1260,Undirected
984,9246,1.3952,Undirected
803,1696,2.2883,Undirected
928,9246,3.7387,Undirected
184,5878,1.2882,Undirected
26,188,1.1925,Undirected
546,1306,1.5156,Undirected
797,6276,1.4678,Undirected
2298,2435,1.5352,Undirected
498,511,1.9594,Undirected
94,13297,1.1258,Undirected
859,4524,1.2249,Undirected
261,803,1.1233,Undirected
821,2084,4.2620,Undirected
48,55,2.7955,Undirected
767,2065,1.3982,Undirected
803,807,1.6523,Undirected
12908,14554,1.1899,Undirected
50363,51625,1.1283,Undirected
465,2009,3.4573,Undirected
767,915,3.4859,Undirected
92517,61251,2.8495,Undirected
49,1380,3.4264,Undirected
146,422,1.1044,Undirected
2298,16496,1.3358,Undirected
435,4252,1.0656,Undirected
422,465,9.4631,Undirected
128,885,1.3545,Undirected
46271,23735,2.1928,Undirected
38,3490,2.0324,Undirected
60,422,1.7263,Undirected
449,4252,1.3579,Undirected
797,380315,1.6481,Undirected
885,3979,2.9853,Undirected
422,854,1.7265,Undirected
859,2606,3.5445,Undirected
392,958,2.0198,Undirected
4808,9521,1.0795,Undirected
188,797,2.1125,Undirected
922,1609,3.5387,Undirected
128,49837,1.7354,Undirected
48,465,4.0414,Undirected
994,13958,2.6644,Undirected
